signal_rank,primary_blocker,facility_id,unit_id,service_line,flagged_cases,recoverable_bed_hours,median_priority_score,mean_confidence,signal_family,actionability_score
30,nurse discharge screening wait,FAC_000,transitional_care,geriatrics,2,72.64,67.385,0.8,nursing_discharge_readiness,68.67
31,radiology MRI access delay,FAC_000,respiratory,respiratory,2,59.440000000000005,60.835,0.84,diagnostics_access,63.13
32,nurse discharge screening wait,FAC_000,surgical,surgery,5,25.74,26.72,0.8,nursing_discharge_readiness,60.09
33,therapy assessment stall,FAC_000,acute_medicine,medicine,4,30.18,24.54,0.82,care_team_assessment,55.46
34,blood testing turnaround delay,FAC_000,transitional_care,geriatrics,4,30.53,11.545,0.79,diagnostics_access,51.79
35,therapy assessment stall,FAC_000,respiratory,respiratory,4,27.279999999999998,11.785,0.82,care_team_assessment,51.25
36,nurse discharge screening wait,FAC_000,acute_medicine,medicine,3,38.06,21.89,0.8000000000000002,nursing_discharge_readiness,51.19
37,vulnerable patient porter wait,FAC_000,acute_medicine,medicine,4,19.05,23.060000000000002,0.81,vulnerable_patient_flow,51.01
38,social work assessment wait,FAC_000,acute_medicine,medicine,3,29.150000000000002,32.53,0.79,social_support_readiness,50.56
39,social work assessment wait,FAC_000,transitional_care,geriatrics,2,33.1,46.245000000000005,0.79,social_support_readiness,49.37
40,social work assessment wait,FAC_000,surgical,surgery,4,12.72,23.225,0.79,social_support_readiness,48.48
41,vulnerable patient porter wait,FAC_000,cardiac,cardiology,3,20.12,33.49,0.81,vulnerable_patient_flow,47.99
42,ALC placement wait,FAC_000,surgical,surgery,3,22.96,18.69,0.94,alc_community_capacity,47.63
43,therapy assessment stall,FAC_000,transitional_care,geriatrics,4,7.48,21.75,0.82,care_team_assessment,46.82
44,radiology MRI access delay,FAC_000,orthopedics,orthopedics,3,21.93,22.99,0.84,diagnostics_access,46.54
45,triage screening backlog,FAC_000,respiratory,respiratory,4,12.89,6.619999999999999,0.76,front_door_screening,43.85
46,diagnostic sign-off stall,FAC_000,acute_medicine,medicine,3,18.51,23.59,0.7200000000000001,diagnostics_access,43.34
47,radiology MRI access delay,FAC_000,acute_medicine,medicine,3,8.64,27.21,0.84,diagnostics_access,42.95
48,radiology MRI access delay,FAC_000,surgical,surgery,3,12.1,21.75,0.84,diagnostics_access,42.79
49,vulnerable patient porter wait,FAC_000,respiratory,respiratory,2,12.33,35.905,0.81,vulnerable_patient_flow,39.87
50,diagnostic sign-off stall,FAC_000,respiratory,respiratory,2,15.42,36.415,0.72,diagnostics_access,39.46
51,vulnerable patient porter wait,FAC_000,orthopedics,orthopedics,3,3.85,21.5,0.81,vulnerable_patient_flow,39.3
52,diagnostic sign-off stall,FAC_000,surgical,surgery,3,7.01,23.2,0.7200000000000001,diagnostics_access,39.21
53,blood testing turnaround delay,FAC_000,respiratory,respiratory,3,7.32,12.9,0.79,diagnostics_access,38.01
54,pharmacy discharge delay,FAC_000,orthopedics,orthopedics,3,9.81,2.57,0.7399999999999999,pharmacy_discharge_readiness,35.4
55,radiology CT turnaround delay,FAC_000,orthopedics,orthopedics,2,11.9,17.235,0.82,diagnostics_access,35.23
56,vulnerable patient porter wait,FAC_000,transitional_care,geriatrics,2,14.86,13.8,0.81,vulnerable_patient_flow,35.23
57,therapy assessment stall,FAC_000,surgical,surgery,3,0.7999999999999999,1.1,0.82,care_team_assessment,33.32
58,triage screening backlog,FAC_000,transitional_care,geriatrics,2,7.55,18.585,0.76,front_door_screening,32.97
59,triage screening backlog,FAC_000,surgical,surgery,3,1.63,1.96,0.7600000000000001,front_door_screening,32.74
60,radiology MRI access delay,FAC_000,transitional_care,geriatrics,2,0.0,21.895,0.84,diagnostics_access,32.59
61,nurse discharge screening wait,FAC_000,cardiac,cardiology,1,6.99,32.39,0.8,nursing_discharge_readiness,30.94
62,therapy assessment stall,FAC_000,cardiac,cardiology,2,2.27,13.354999999999999,0.82,care_team_assessment,30.89
63,radiology CT turnaround delay,FAC_000,acute_medicine,medicine,2,0.39,13.72,0.82,diagnostics_access,30.33
64,discharge documentation readiness wait,FAC_000,acute_medicine,medicine,2,0.0,19.0,0.75,documentation_readiness,30.25
65,pharmacy discharge delay,FAC_000,acute_medicine,medicine,2,0.0,18.25,0.74,pharmacy_discharge_readiness,29.88
66,radiology CT turnaround delay,FAC_000,surgical,surgery,1,8.74,16.22,0.82,diagnostics_access,27.87
67,radiology ultrasound turnaround delay,FAC_000,surgical,surgery,1,0.0,22.76,0.8,diagnostics_access,26.09
68,blood testing turnaround delay,FAC_000,acute_medicine,medicine,1,0.0,21.32,0.79,diagnostics_access,25.55
69,ECG availability delay,FAC_000,cardiac,cardiology,1,1.05,20.51,0.78,diagnostics_access,25.54
70,interpreter availability wait,FAC_000,acute_medicine,medicine,1,0.0,24.8,0.74,social_support_readiness,25.52
71,radiology CT turnaround delay,FAC_000,respiratory,respiratory,1,0.0,18.8,0.82,diagnostics_access,25.46
72,ECG availability delay,FAC_000,acute_medicine,medicine,1,0.0,20.63,0.78,diagnostics_access,25.2
73,vulnerable patient porter wait,FAC_000,surgical,surgery,1,0.0,18.25,0.81,vulnerable_patient_flow,25.14
74,unit-level bed-flow bottleneck,FAC_000,transitional_care,geriatrics,1,7.15,21.28,0.62,unit_flow_capacity,24.98
75,radiology ultrasound turnaround delay,FAC_000,transitional_care,geriatrics,1,0.0,18.04,0.8,diagnostics_access,24.91
76,discharge documentation readiness wait,FAC_000,transitional_care,geriatrics,1,0.0,20.18,0.75,documentation_readiness,24.54
77,diagnostic sign-off stall,FAC_000,orthopedics,orthopedics,1,0.0,19.74,0.72,diagnostics_access,23.89
78,social work assessment wait,FAC_000,cardiac,cardiology,1,4.29,7.97,0.79,social_support_readiness,23.71
79,blood testing turnaround delay,FAC_000,cardiac,cardiology,1,2.6,4.84,0.79,diagnostics_access,22.34
80,nurse discharge screening wait,FAC_000,respiratory,respiratory,1,1.99,3.7,0.8,nursing_discharge_readiness,22.02
81,pharmacy discharge delay,FAC_000,cardiac,cardiology,1,3.21,5.96,0.74,pharmacy_discharge_readiness,21.93
82,interpreter availability wait,FAC_000,orthopedics,orthopedics,1,3.13,5.82,0.74,social_support_readiness,21.87
83,blood testing turnaround delay,FAC_000,surgical,surgery,1,1.67,3.11,0.79,diagnostics_access,21.58
84,pharmacy discharge delay,FAC_000,respiratory,respiratory,1,2.44,4.53,0.74,pharmacy_discharge_readiness,21.31
85,radiology ultrasound turnaround delay,FAC_000,orthopedics,orthopedics,1,0.89,1.65,0.8,diagnostics_access,21.12
86,discharge documentation readiness wait,FAC_000,respiratory,respiratory,1,0.18,0.34,0.75,documentation_readiness,19.65
